window_label,event_type,event_label,d_cut,sigma_cut,change_cut_setting,edge_nan_ksstat,effective_change_cut,match_tolerance_ka,n_detected,n_published,n_matched,n_unmatched_detected,n_unmatched_published,precision,recall,f1,median_abs_age_error_ka,mean_abs_age_error_ka
0.6-4,strong_monsoon_start,Strong monsoon starts,0.72,1.0,0.2,False,0.2,0.8,122,87,74,48,13,0.6065573770491803,0.8505747126436781,0.7081339712918661,0.03125,0.1305338701041614
0.6-4,weak_monsoon_start,Weak monsoon starts,0.72,1.0,0.2,False,0.2,0.8,122,90,75,47,15,0.6147540983606558,0.8333333333333334,0.7075471698113208,0.03500000000002501,0.11589517693383951
0.6-4,strong_monsoon_start,Strong monsoon starts,0.72,1.0,0.4,False,0.4,0.8,99,87,75,24,12,0.7575757575757576,0.8620689655172413,0.8064516129032258,0.03350000000000364,0.12463147897625572
0.6-4,weak_monsoon_start,Weak monsoon starts,0.72,1.0,0.4,False,0.4,0.8,102,90,79,23,11,0.7745098039215687,0.8777777777777778,0.8229166666666667,0.034700000000043474,0.11277495450791648
0.6-4,strong_monsoon_start,Strong monsoon starts,0.72,1.5,default,False,0.5534439014047682,0.8,88,87,77,11,10,0.875,0.8850574712643678,0.8800000000000001,0.020000000000010232,0.09687932839779284
0.6-4,weak_monsoon_start,Weak monsoon starts,0.72,1.5,default,False,0.5534439014047682,0.8,95,90,80,15,10,0.8421052631578947,0.8888888888888888,0.8648648648648649,0.03700000000003456,0.10574953270295759
0.6-4,strong_monsoon_start,Strong monsoon starts,0.72,1.5,0.0,False,0.0,0.8,129,87,75,54,12,0.5813953488372093,0.8620689655172413,0.6944444444444445,0.02199999999999136,0.10810006673461774
0.6-4,weak_monsoon_start,Weak monsoon starts,0.72,1.5,0.0,False,0.0,0.8,126,90,75,51,15,0.5952380952380952,0.8333333333333334,0.6944444444444444,0.04975000000000307,0.12427851026717499
0.6-4,strong_monsoon_start,Strong monsoon starts,0.72,1.5,0.2,False,0.2,0.8,122,87,75,47,12,0.6147540983606558,0.8620689655172413,0.7177033492822965,0.02199999999999136,0.10810006673461774
0.6-4,weak_monsoon_start,Weak monsoon starts,0.72,1.5,0.2,False,0.2,0.8,120,90,75,45,15,0.625,0.8333333333333334,0.7142857142857143,0.04975000000000307,0.12427851026717499
0.6-4,strong_monsoon_start,Strong monsoon starts,0.72,1.5,0.4,False,0.4,0.8,99,87,75,24,12,0.7575757575757576,0.8620689655172413,0.8064516129032258,0.02199999999999136,0.10810006673461774
0.6-4,weak_monsoon_start,Weak monsoon starts,0.72,1.5,0.4,False,0.4,0.8,101,90,79,22,11,0.7821782178217822,0.8777777777777778,0.8272251308900525,0.03875000000005002,0.1097211570395633
0.6-4,strong_monsoon_start,Strong monsoon starts,0.72,2.0,default,False,0.5534439014047682,0.8,80,87,74,6,13,0.925,0.8505747126436781,0.8862275449101797,0.01915495688666624,0.08482255778838534
0.6-4,weak_monsoon_start,Weak monsoon starts,0.72,2.0,default,False,0.5534439014047682,0.8,89,90,77,12,13,0.8651685393258427,0.8555555555555555,0.8603351955307262,0.034700000000043474,0.09332262172278825
0.6-4,strong_monsoon_start,Strong monsoon starts,0.72,2.0,0.0,False,0.0,0.8,117,87,74,43,13,0.6324786324786325,0.8505747126436781,0.7254901960784313,0.02342243120452281,0.09777675570845318
0.6-4,weak_monsoon_start,Weak monsoon starts,0.72,2.0,0.0,False,0.0,0.8,115,90,73,42,17,0.6347826086956522,0.8111111111111111,0.7121951219512196,0.03389999999996007,0.10382708776790117
0.6-4,strong_monsoon_start,Strong monsoon starts,0.72,2.0,0.2,False,0.2,0.8,113,87,74,39,13,0.6548672566371682,0.8505747126436781,0.7399999999999999,0.02342243120452281,0.09777675570845318
0.6-4,weak_monsoon_start,Weak monsoon starts,0.72,2.0,0.2,False,0.2,0.8,111,90,73,38,17,0.6576576576576577,0.8111111111111111,0.7263681592039801,0.03389999999996007,0.10382708776790117
0.6-4,strong_monsoon_start,Strong monsoon starts,0.72,2.0,0.4,False,0.4,0.8,92,87,74,18,13,0.8043478260869565,0.8505747126436781,0.8268156424581005,0.02342243120452281,0.09720243138412861
0.6-4,weak_monsoon_start,Weak monsoon starts,0.72,2.0,0.4,False,0.4,0.8,95,90,77,18,13,0.8105263157894737,0.8555555555555555,0.8324324324324324,0.03389999999996007,0.10220922783304244
